identifier,section,parameter,value
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5828.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5806.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5816.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5817.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5818.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5819.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5826.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5828.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_375_5829.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5816.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5817.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5818.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5819.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5826.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_376_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5816.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5817.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5818.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5819.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_377_5826.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5817.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5818.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5819.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5825.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5826.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_378_5829.zip
"
